CustomFieldValue,CustomFieldValueDescription
638093,638093 - Foreign Transaction Fees
638094,638094 - Off-Campus Event Business Center
638095,638095 - On-Campus Event Food/Meals
638097,638097 - Non Training Foreign Conventions
638099,638099 - Trainee Travel
638104,638104 - Automobile Insurance
638109,638109 - Marine Insurance
638114,638114 - Property Insurance
638119,638119 - Boiler Insurance
638124,638124 - Money and Securities Insurance
638129,638129 - Medical Malpractice Insurance
638134,638134 - Surety Bonds
638139,638139 - Workers Compensation Insurance
638144,638144 - Liability Insurance
638202,638202 - Natural Gas
638207,638207 - Fuel Oil
638211,638211 - Energy Savings
638212,638212 - Electrical Service
638217,638217 - Refuse Services
638222,638222 - Water and Sewer
638226,638226 - Storm Water
638228,Utility Services Other
638310,638310 - EVA Penalities
638351,638351 - Alcohol Beverage IRS Reportable
638352,638352 - Alcohol Beverage Not IRS Reportable
638353,638353 - On-Campus Event Alcohol
638357,638357 - Entertainment
638358,638358 - Civic Social Clubs
638370,638370 - Bank Charges
638372,638372 - Contributions
638373,638373 - Sponsorship
638377,638377 - Honorariums and Awards for Service
638382,638382 - Awards Prizes No Services
638387,638387 - Test Individual Payments
638392,638392 - Training Aids for Disabled Persons
638511,638511 - CP Interest
638512,Lease Interest Expense
638633,CPIC-NFLP Employ
638700,Participant Support (BUDGET ONLY)
638701,Participant Support Stipends
638702,Participant Support Travel
638703,Participant Support Supplies
638704,Participant Support Miscellaneous
639997,Fac Admin Cost Grant
653357,Bioinformatics Core
653364,Service Agreements
653388,Cryo-EM Core
700002,Desktop Computer $10k and above
700007,Laptop Computers $10k and above
700012,Mainframe Computers $10k and above
700017,Network Servers $10k and above
700022,Network Components $10k and above
700027,Other Computer Equip $10k and above
700034,Software VCU owned over $10k
700037,Development Tools $10k and above
700100,Library Books $10k and above
700105,Educational Equip $10k and above
700110,Exhibit Equipment $10k and above
700115,Reference Equipment $10k and above
700119,Audio Visual Equip $10K and above
700120,Electronic Equipment $10k and above
700125,Photographic Equip $10k and above
700130,Voice Data Tran Equip $10k and abov
700135,Laboratory Equipment $10k and above
700140,Medical Dental Equip $10k and above
700145,Field Equipment $10k and above
700150,Motor Vehicles $10k and above
700151,Watercraft Equipment $10k and above
700155,Power Repair Maint $10k and above
700160,Charge Card Equip $10k and above
700165,Housing Room Equip $10k and above
700170,Law Enforcement Equip $10k and abov
700175,NonPower Repair Maint $10k and abov
700180,Recreational Equip $10k and above
700185,Firearms $10k and above
700190,HEETF $10k and above
700200,Built in Equipment $10k and above
700205,Fixtures $10k and above
700210,Mechanical Equipment $10k and above
700215,Signage $10k and above
700220,Dining Service Equip $10k and above
700300,Office Appurtenances $10k and above
700305,Office Furniture $10k and above
700310,Office Incidentals $10k and above
700315,Office Machines $10k and above
720002,Desktop Computer under $10k
720007,Laptop Computers under $10k
720012,Mainframe Computers under $10k
720017,Network Servers under $10k
720022,Network Components under $10k
720027,Other Computer EquiP under $10k
720032,Software VCU owned under $10k
720037,Development Tools under $10k
720100,Library Books under $10k
720105,Educational Equipment under $10k
720110,Exhibit Equipment under $10k
720115,Reference Equipment under $10k
720119,Audio Visual Equip under $10k
720120,Electronic Equipment under $10k
720125,Photographic Equipment under $10k
720130,Voice Data Trans Equi under $10k
720135,Laboratory Equipment under $10k
720140,Medical Dental Equip under $10k
720145,Field Equipment under $10k
720150,Motor Vehicles under $10k
720151,Watercraft Equipment under $10k
720155,Power Repr Maint Equiq under $10k
720160,Charge Card Equipment under $10k
720165,Housing Room Equipment under $10k
720170,Law Enforcement Equp under $10k
720175,Non Pwr Rer Maint Equi under $10k
720180,Recreational Equipment under $10k
720185,Firearms under $10k
720190,HEETF under $10k
720200,Built in Equipment under $10k
720205,Fixtures under $10k
720210,Mechanical Equipment under $10k
720215,Signage under $10k
720220,Dining Service Equipment under $10k
720300,Office Appurtenances under $10k
720305,Office Furniture under $10k
720310,Office Incidentals under $10k
720315,Office Machines under $10k
750002,750002 - Land
750010,750010 - Site Improvements
750011,750011 - Site Development
750012,750012 - Site Preparation
750017,750017 - Utility construction
750022,750022 - Building Acquisition
750027,750027 - Const Bldg Improvmts
750028,750028 - Const Bldg Improvmts
750037,750037 - Building Improvements
750038,750038 - Contruction New Construction
750039,750039 - Contingency New Construction
750040,750040 - Constr Plant and Improv
750041,750041 - Extra Services A E
750042,750042 - Cont Ament Const Ren
750044,750044 - Other Project Expenses
750047,750047 - Basic Contract Fee
750052,750052 - A E Additional Services
750057,750057 - A E Reimbursable
750062,750062 - Inspection Testing
750067,750067 - Reproduction
750072,750072 - Interior Design
750077,750077 - Other A E Consultants
760000,Building purchases
